CaseType,ValenceProb
civil_rights,0.9999809393032408
contract,0.9999804801371028
labor,0.9999999799417622
other,0.9999999994403472
prisoner_petitions,0.00021543795462252864
real_property,4.0838168915140553e-41
torts,0.0029080922615752937
