PlaintiffFirm,DefendantFirm,Weight,Count
wilmer cutler pickering hale & dor,quinn emanuel urquhart & sullivan,20.6940628227001,24
"gibson, dunn & crutcher",quinn emanuel urquhart & sullivan,18.403337484384323,21
morrison & foerster,quinn emanuel urquhart & sullivan,17.57600591614131,20
"boies, schiller & flexner","shook, hardy & bacon",14.769021166477499,16
susman godfrey,covington & burling,13.311224557209067,15
"boies, schiller & flexner",greenberg traurig,13.065984868137072,15
"morgan, lewis & bockius",kirkland & ellis,12.269409037251604,15
robbins geller rudman & dowd,sullivan & cromwell,10.59991715582815,12
grant & eisenhofer,covington & burling,10.379994259005834,13
cohen milstein sellers & toll,"gibson, dunn & crutcher",10.098715105413051,14
grant & eisenhofer,sullivan & cromwell,9.9833020755195,12
glancy binkow & goldberg,covington & burling,9.731424181232876,11
susman godfrey,sullivan & cromwell,9.607600210894569,11
cotchett pitre & mccarthy,sullivan & cromwell,8.939070345886854,10
hausfeld,covington & burling,8.849944346459553,10
hagens berman sobol shapiro,latham & watkins,8.805066368243986,11
glancy binkow & goldberg,"gibson, dunn & crutcher",8.741941374326553,10
morrison & foerster,attorney general,8.585067989149607,10
robbins geller rudman & dowd,"gibson, dunn & crutcher",7.992412515089951,10
cotchett pitre & mccarthy,covington & burling,7.915017887009224,9
kirkland & ellis,attorney general,7.77198547758004,10
hagens berman sobol shapiro,covington & burling,7.641547789009707,9
grant & eisenhofer,"gibson, dunn & crutcher",7.444206827851277,9
"gibson, dunn & crutcher",williams & connolly,7.0442000240475835,8
hausfeld,"gibson, dunn & crutcher",7.037816102757531,8
susman godfrey,"boies, schiller & flexner",6.977201269307136,8
susman godfrey,"gibson, dunn & crutcher",6.977201269307136,8
susman godfrey,sidley austin,6.977201269307136,8
"robins, kaplan, miller & ciresi",sullivan & cromwell,6.9578152128126405,8
grant & eisenhofer,"skadden, arps, slate, meagher & flom",6.693693018926328,8
grant & eisenhofer,"morgan, lewis & bockius",6.691094139894646,8
"shepherd, finkelman, miller & shah",covington & burling,6.6304243561147835,8
attorney general,united states attorney,6.494848603423625,8
robbins geller rudman & dowd,simpson thacher & bartlett,6.295632473431293,7
morrison & foerster,williams & connolly,6.201245105233142,7
freed kanner london & millen,covington & burling,6.198614500876953,7
kaplan fox & kilsheimer,covington & burling,6.198614500876953,7
cotchett pitre & mccarthy,"gibson, dunn & crutcher",6.14502761066779,7
lieff cabraser heimann & bernstein,"gibson, dunn & crutcher",6.131912368040378,7
susman godfrey,davis polk & wardwell,6.118999576241,7
susman godfrey,hughes hubbard & reed,6.118999576241,7
susman godfrey,simpson thacher & bartlett,6.118999576241,7
"robins, kaplan, miller & ciresi","gibson, dunn & crutcher",6.086241513906108,7
"robins, kaplan, miller & ciresi",covington & burling,6.063205713851975,7
attorney general,simpson thacher & bartlett,6.013897681073995,7
hagens berman sobol shapiro,quinn emanuel urquhart & sullivan,5.869167743593518,7
grant & eisenhofer,"boies, schiller & flexner",5.810925308809379,7
robbins geller rudman & dowd,covington & burling,5.807162833567437,7
robbins geller rudman & dowd,"boies, schiller & flexner",5.798083088638412,7
grant & eisenhofer,davis polk & wardwell,5.79322236934258,7
"boies, schiller & flexner","gibson, dunn & crutcher",5.518381183287244,6
glancy binkow & goldberg,simpson thacher & bartlett,5.487832738098829,6
susman godfrey,latham & watkins,5.420055475745231,6
glancy binkow & goldberg,davis polk & wardwell,5.415138266234833,6
kaplan fox & kilsheimer,sidley austin,5.391388155228107,6
"robins, kaplan, miller & ciresi",simpson thacher & bartlett,5.2592216784452255,6
"gibson, dunn & crutcher",susman godfrey,5.256241068194914,6
hagens berman sobol shapiro,"gibson, dunn & crutcher",5.254675892303189,6
foley & lardner,united states attorney,5.20850316151879,7
glancy binkow & goldberg,sullivan & cromwell,5.18730108131904,6
hausfeld,sullivan & cromwell,5.18730108131904,6
cotchett pitre & mccarthy,"boies, schiller & flexner",5.186406066656163,6
cotchett pitre & mccarthy,sidley austin,5.186406066656163,6
"robins, kaplan, miller & ciresi","boies, schiller & flexner",5.186406066656163,6
"robins, kaplan, miller & ciresi",sidley austin,5.186406066656163,6
attorney general,morrison & foerster,5.182272210246036,6
lieff cabraser heimann & bernstein,covington & burling,5.163493973682304,6
robbins geller rudman & dowd,sidley austin,5.106191465354974,6
hagens berman sobol shapiro,sidley austin,5.083798409642575,6
berger & montague,covington & burling,5.062539033915699,6
lieff cabraser heimann & bernstein,sullivan & cromwell,5.021218224261731,6
berger & montague,sullivan & cromwell,4.974559139060761,6
"shepherd, finkelman, miller & shah",cahill gordon & reindel,4.943682814842779,6
susman godfrey,united states attorney,4.85735355127166,6
berger & montague,"boies, schiller & flexner",4.8433785073092155,6
kaplan fox & kilsheimer,"weil, gotshal & manges",4.830544783701684,5
kaplan fox & kilsheimer,mayer brown,4.6561236557990915,5
hausfeld,skadden arps slate meagher & flom,4.653827498586702,5
glancy binkow & goldberg,mayer brown,4.621337005025609,5
susman godfrey,mayer brown,4.482211114744683,5
glancy binkow & goldberg,sidley austin,4.440571528095858,5
robbins geller rudman & dowd,locke lord bissell & liddell,4.421312546361851,5
grant & eisenhofer,sidley austin,4.350564802961646,5
hagens berman sobol shapiro,"boies, schiller & flexner",4.350564802961646,5
lieff cabraser heimann & bernstein,"boies, schiller & flexner",4.350564802961646,5
lieff cabraser heimann & bernstein,sidley austin,4.350564802961646,5
freed kanner london & millen,sullivan & cromwell,4.346802327719703,5
hagens berman sobol shapiro,sullivan & cromwell,4.346802327719703,5
kaplan fox & kilsheimer,sullivan & cromwell,4.346802327719703,5
"shepherd, finkelman, miller & shah",sullivan & cromwell,4.346802327719703,5
united states attorney,covington & burling,4.346802327719703,5
united states attorney,sullivan & cromwell,4.346802327719703,5
robbins geller rudman & dowd,latham & watkins,4.317744388642062,5
grant & eisenhofer,simpson thacher & bartlett,4.281749207248528,5
hagens berman sobol shapiro,mcdermott will & emery,4.26461836931993,5
morrison & foerster,united states attorney,4.2235937359337425,5
"boies, schiller & flexner",attorney general,4.208282703218568,5
united states attorney,united states attorney,4.171988976456382,5
berger & montague,sidley austin,4.1624495232512135,5
wilmer cutler pickering hale & dor,united states attorney,4.08854947616387,5
berger & montague,"morgan, lewis & bockius",4.071729486014257,5
wilmer cutler pickering hale & dor,covington & burling,4.053564649482146,6
robbins geller rudman & dowd,davis polk & wardwell,4.046945775274223,5
grant & eisenhofer,cahill gordon & reindel,4.035860599709016,5
simpson thacher & bartlett,covington & burling,3.991260157862548,5
glancy binkow & goldberg,"morgan, lewis & bockius",3.8489169006094377,4
grant & eisenhofer,kirkland & ellis,3.7416283471526945,5
glancy binkow & goldberg,kirkland & ellis,3.687115586524391,4
"morgan, lewis & bockius","shook, hardy & bacon",3.6789207888581625,4
grant & eisenhofer,steptoe & johnson,3.580522598619124,4
kaplan fox & kilsheimer,davis polk & wardwell,3.5724937248098643,4
"shepherd, finkelman, miller & shah",skadden arps slate meagher & flom,3.570889236024589,4
glancy binkow & goldberg,"skadden, arps, slate, meagher & flom",3.532809680355923,4
grant & eisenhofer,"shook, hardy & bacon",3.522248489751012,4
hagens berman sobol shapiro,"shook, hardy & bacon",3.522248489751012,4
lieff cabraser heimann & bernstein,"shook, hardy & bacon",3.522248489751012,4
glancy binkow & goldberg,dla piper,3.521267678691914,4
hagens berman sobol shapiro,davis polk & wardwell,3.49236310989551,4
lieff cabraser heimann & bernstein,davis polk & wardwell,3.49236310989551,4
susman godfrey,cahill gordon & reindel,3.488600634653568,4
susman godfrey,katten muchin rosenman,3.488600634653568,4
susman godfrey,locke lord bissell & liddell,3.488600634653568,4
susman godfrey,mcdermott will & emery,3.488600634653568,4
susman godfrey,"milbank, tweed, hadley & mccloy",3.488600634653568,4
susman godfrey,paul weiss rifkind wharton & garrison,3.488600634653568,4
