CaseType,Privilege
civil_rights,-1.11813238178587
contract,-2.2830223154133105
labor,-0.36058697351360025
other,-1.5323324867779282
prisoner_petitions,1.3169915315020666
real_property,3.936481634445611
torts,5.128545353194342
