Firm,Weight,OutWeight,InWeight,OutCount,InCount,TotalCount
"gibson, dunn & crutcher",141.37362017609155,41.820897289298934,99.55272288679262,48,118,166
susman godfrey,128.52580104351514,118.62607418328484,9.899726860230299,135,11,146
covington & burling,124.91887713543726,6.612587715090248,118.30628942034701,8,140,148
united states attorney,120.8757876936574,50.803058566789225,70.07272912686817,59,87,146
"boies, schiller & flexner",119.67201194988294,52.762109882372364,66.90990206751059,60,79,139
grant & eisenhofer,119.6038762491745,119.6038762491745,0.0,143,0,143
hagens berman sobol shapiro,102.93223082677663,102.93223082677663,0.0,122,0,122
robbins geller rudman & dowd,99.74346868515774,99.74346868515774,0.0,117,0,117
sullivan & cromwell,92.7029432167784,0.8526205369247167,91.85032267985368,1,106,107
glancy binkow & goldberg,91.92999216111721,91.92999216111721,0.0,103,0,103
attorney general,84.47105346718845,33.38453839069165,51.0865150764968,40,65,105
quinn emanuel urquhart & sullivan,81.03772618290664,7.890925901384675,73.14680028152196,9,84,93
berger & montague,74.81884115394891,74.81884115394891,0.0,90,0,90
simpson thacher & bartlett,74.19701383473502,6.391386559378374,67.80562727535664,8,78,86
"robins, kaplan, miller & ciresi",73.0916653672003,72.23001066503834,0.8616547021619643,83,1,84
cotchett pitre & mccarthy,72.79521764294752,72.79521764294752,0.0,83,0,83
hausfeld,72.04289564121498,72.04289564121498,0.0,82,0,82
sidley austin,71.45298385648996,6.4985832133761345,64.95440064311383,8,75,83
kirkland & ellis,64.55539516453752,10.989727204927732,53.56566795960979,14,65,79
kaplan fox & kilsheimer,64.35326485732973,64.35326485732973,0.0,72,0,72
freed kanner london & millen,64.14060643922518,64.14060643922518,0.0,73,0,73
wilmer cutler pickering hale & dor,63.799388681977454,41.626726605655485,22.17266207632197,51,26,77
"shepherd, finkelman, miller & shah",62.81192135418318,62.81192135418318,0.0,74,0,74
"morgan, lewis & bockius",62.65331814900473,29.77013845123575,32.88317969776899,35,40,75
morrison & foerster,62.191401392757314,40.874461261300965,21.316940131456345,47,25,72
lieff cabraser heimann & bernstein,61.08477451604421,61.08477451604421,0.0,72,0,72
davis polk & wardwell,54.54658946847573,0.9350557312469616,53.61153373722877,1,62,63
cohen milstein sellers & toll,52.441238654317424,52.441238654317424,0.0,68,0,68
hughes hubbard & reed,47.14646222462042,0.0,47.14646222462042,0,55,55
mcdermott will & emery,43.50672595061822,6.210175581936805,37.296550368681416,9,43,52
mayer brown,43.28613663035726,4.849053212279202,38.43708341807806,7,43,50
cahill gordon & reindel,42.571893248874005,2.5686075480324,40.00328570084161,3,47,50
"shook, hardy & bacon",39.420443083452746,4.2366066667316975,35.18383641672105,5,39,44
latham & watkins,36.072797620746535,2.9107806442326694,33.16201697651387,5,38,43
katten muchin rosenman,35.67669409835061,3.29856453099082,32.378129567359785,4,38,42
"weil, gotshal & manges",34.91270754671373,14.04534921859052,20.867358328123213,16,24,40
greenberg traurig,34.686017072712765,3.4096993450790545,31.27631772763371,4,37,41
locke lord bissell & liddell,33.66901631969034,0.0,33.66901631969034,0,40,40
"skadden, arps, slate, meagher & flom",33.61659011890896,0.844739471738035,32.77185064717092,1,38,39
arnold & porter,31.446015439916597,3.128073147957281,28.317942291959316,4,33,37
williams & connolly,31.08719323404503,1.6768411555510816,29.41035207849395,2,35,37
"milbank, tweed, hadley & mccloy",31.06043415624985,0.0,31.06043415624985,0,36,36
paul weiss rifkind wharton & garrison,30.279715737690385,0.0,30.279715737690385,0,35,35
skadden arps slate meagher & flom,29.052148776602028,3.100295755681462,25.951853020920566,4,29,33
schiff hardin,27.76002144419114,0.0,27.76002144419114,0,32,32
steptoe & johnson,25.65497679741546,1.2891190650369686,24.365857732378494,2,28,30
dla piper,20.924003813750875,2.262106781622798,18.661897032128078,3,21,24
goodwin procter,17.21811891592972,2.6982094704462796,14.519909445483439,4,17,21
foley & lardner,14.98083284416148,8.723336222850138,6.257496621311342,11,7,18
mccarter & english,10.795901494177388,0.775587607433457,10.020313886743931,1,14,15
